FK_COLLECTION_ID,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,END_CAPTURE_DATE,LATITUDE,LONGITUDE,MESH_SIZE,MESH_SIZE_COMMENT,IS_MISSING_PAIRED_DATA_EXISTS,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_IN_DATASHEET,IS_PRESENT_BUT_NOT_IN_DS,VIAL_BARCODE,CONTAINER_ARRAY_TYPE_ID,DNA_TRAY_WORKBENCH_ID,DNA_TRAY_CODE,DNA_TRAY_WELL_POS,DNA_TRAY_WELL_CODE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,AGENCY,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT
52496,48,Axillary Process,,,,0,0,,,,,,,,2,1,1400002559,H6,48,0000022114,W,2,I,,,,,,0,
52496,49,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,A1,1,0000022114,W,2,I,,,,,,0,
52496,50,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,B1,2,0000022114,W,2,I,,,,,,0,
52496,51,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,C1,3,0000022114,W,2,I,,,,,,0,
52496,52,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,D1,4,0000022114,W,2,I,,,,,,0,
52496,53,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,E1,5,0000022114,W,2,I,,,,,,0,
52496,54,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,F1,6,0000022114,W,2,I,,,,,,0,
52496,55,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,G1,7,0000022114,W,2,I,,,,,,0,
52496,56,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,H1,8,0000022114,W,2,I,,,,,,0,
52496,57,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,A2,9,0000022114,W,2,I,,,,,,0,
52496,58,Axillary Process,,,,0,0,,,,,,,,2,2,1400002560,B2,10,0000022114,W,2,I,,,,,,0,
