Well Position,Sample Name
A1,PSTOCK16_8064
B1,PSTOCK16_8672
C1,PSTOCK16_8698
D1,PSTOCK15_271
E1,PSTOCK15_367
F1,PSTOCK15_427
G1,PSTOCK15_502
H1,PSTOCK15_762
A2,PSTOCK15_772
B2,PSTOCK15_808
C2,PSTOCK15_1019
D2,PSTOCK15_1355
E2,PSTOCK15_1376
F2,PSTOCK15_1527
G2,PSTOCK15_1530
H2,PSTOCK15_1546
A3,PSTOCK15_1553
B3,PSTOCK15_1765
C3,PSTOCK15_1951
D3,PSTOCK15_2013
E3,PSTOCK15_2152
F3,PSTOCK15_2436
G3,PSTOCK15_2498
H3,PSTOCK15_2504
A4,PSTOCK15_2585
B4,PSTOCK15_2594
C4,PSTOCK15_2625
D4,NTC
E4,PSTOCK15_2720
F4,PSTOCK15_2905
G4,PSTOCK15_2908
H4,PSTOCK15_3011
A5,PSTOCK15_3014
B5,PSTOCK15_3028
C5,PSTOCK15_3607
D5,PSTOCK15_3764
E5,PSTOCK15_3895
F5,PSTOCK15_3928
G5,NTC
H5,PSTOCK15_4093
A6,PSTOCK15_4193
B6,PSTOCK15_4279
C6,PSTOCK15_4653
D6,PSTOCK15_4678
E6,PSTOCK15_5108
F6,PSTOCK15_5154
G6,PSTOCK15_5175
H6,PSTOCK15_5438
A7,PSTOCK15_5472
B7,PSTOCK15_5635
C7,PSTOCK15_5645
D7,PSTOCK15_5675
E7,PSTOCK15_6222
F7,PSTOCK15_6481
G7,PSTOCK15_6541
H7,PSTOCK15_6547
A8,PSTOCK15_6693
B8,PSTOCK15_6864
C8,PSTOCK15_6872
D8,PSTOCK15_7031
E8,PSTOCK15_7197
F8,PSTOCK15_7228
G8,PSTOCK15_7287
H8,PSTOCK15_7477
A9,PSTOCK15_7576
B9,PSTOCK15_7586
C9,PSTOCK15_7644
D9,PSTOCK15_7663
E9,PSTOCK15_7702
F9,PSTOCK15_7716
G9,PSTOCK15_8028
H9,PSTOCK15_8269
A10,PSTOCK15_8277
B10,PSTOCK15_8308
C10,PSTOCK15_8372
D10,PHOGAN16_88
E10,PHOGAN16_379
F10,PHOGAN16_710
G10,NTC
H10,NTC
A11,PHOGAN16_805
B11,PHOGAN16_958
C11,PHOGAN16_984
D11,PHOGAN16_1116
E11,PHOGAN16_1147
F11,PHOGAN16_2248
G11,PHOGAN16_2413
H11,PHOGAN16_2676
A12,PHOGAN16_2808
B12,PHOGAN16_3011
C12,PHOGAN16_3038
D12,PHOGAN16_3042
E12,PHOGAN16_3233
F12,PHOGAN16_3348
G12,PHOGAN16_4008
H12,NTC
