Well Position,Sample Name
A1,PDUCK13_11
B1,PDUCK13_12
C1,PDUCK13_13
D1,PDUCK13_14
E1,PDUCK13_15
F1,PDUCK13_16
G1,PDUCK13_17
H1,PDUCK13_18
A2,PDUCK13_19
B2,PDUCK13_20
C2,PDUCK13_21
D2,PDUCK13_22
E2,PDUCK13_23
F2,PDUCK13_34
G2,PDUCK13_37
H2,PDUCK13_50
A3,PDUCK13_51
B3,PDUCK13_52
C3,PDUCK13_56
D3,PDUCK13_58
E3,PDUCK13_59
F3,PDUCK13_60
G3,PDUCK13_62
H3,PDUCK13_72
A4,PDUCK13_73
B4,PDUCK13_78
C4,PSTOCK16_84
D4,PSTOCK16_212
E4,PSTOCK16_878
F4,PSTOCK16_983
G4,PSTOCK16_1038
H4,PSTOCK16_1085
A5,PSTOCK16_1193
B5,PSTOCK16_1220
C5,PSTOCK16_1321
D5,PSTOCK16_1799
E5,PSTOCK16_1833
F5,PSTOCK16_1948
G5,PSTOCK16_1997
H5,PSTOCK16_2018
A6,PSTOCK16_2441
B6,PSTOCK16_2452
C6,PSTOCK16_2560
D6,PSTOCK16_2588
E6,PSTOCK16_9
F6,PSTOCK16_1523
G6,PSTOCK16_2764
H6,PSTOCK16_2788
A7,PSTOCK16_2813
B7,PSTOCK16_2968
C7,PSTOCK16_2836
D7,PSTOCK16_3121
E7,PSTOCK16_3211
F7,PSTOCK16_3219
G7,PSTOCK16_3330
H7,PSTOCK16_3400
A8,PSTOCK16_3438
B8,PSTOCK16_3482
C8,PSTOCK16_2958
D8,PSTOCK16_4587
E8,PSTOCK16_4077
F8,PSTOCK16_4138
G8,PSTOCK16_4319
H8,PSTOCK16_4543
A9,PSTOCK16_4620
B9,PSTOCK16_4748
C9,PSTOCK16_5126
D9,PSTOCK16_7001
E9,PSTOCK16_5244
F9,PSTOCK16_5363
G9,PSTOCK16_5418
H9,PSTOCK16_5540
A10,PSTOCK16_5582
B10,PSTOCK16_5620
C10,PSTOCK16_5657
D10,PSTOCK16_5767
E10,PSTOCK16_5781
F10,PSTOCK16_6466
G10,PSTOCK16_6480
H10,PSTOCK16_6507
A11,PSTOCK16_7657
B11,PSTOCK16_6920
C11,PSTOCK16_6967
D11,PSTOCK16_7508
E11,PSTOCK16_7546
F11,PSTOCK16_7558
G11,PSTOCK16_7645
H11,PSTOCK16_7691
A12,PSTOCK16_7945
B12,PSTOCK16_8040
C12,PSTOCK16_8049
D12,PSTOCK16_8050
E12,PSTOCK16_8103
F12,PSTOCK16_8173
G12,PSTOCK16_8407
H12,NTC
