Well Position,Sample Name
A1,PCANN91H_5
B1,PCANN91H_6
C1,PCANN91H_7
D1,PCANN91H_8
E1,PCANN91H_9
F1,PCANN91H_10
G1,PCANN91H_11
H1,PCANN91H_12
A2,PCANN91H_13
B2,PCANN91H_14
C2,PCANN91H_15
D2,PCANN91H_16
E2,PCANN91H_17
F2,PCANN91H_18
G2,PCANN91H_51
H2,PCANN91H_52
A3,PCANN91H_53
B3,PCANN91H_54
C3,PCANN91H_55
D3,PCANN91H_56
E3,PCANN91H_57
F3,PCANN91H_58
G3,PCANN91H_59
H3,PCANN91H_60
A4,PCANN91H_61
B4,PCANN91H_62
C4,PCANN91H_63
D4,PCANN91H_64
E4,PCANN91H_65
F4,PCANN91H_66
G4,PCANN91H_67
H4,PCANN91H_68
A5,PVFDA94H_1
B5,PVFDA94H_2
C5,PVFDA94H_3
D5,PVFDA94H_4
E5,PVFDA94H_5
F5,PVFDA94H_6
G5,PVFDA94H_7
H5,PVFDA94H_8
A6,PVFDA94H_9
B6,PVFDA94H_10
C6,PVFDA94H_11
D6,PVFDA94H_12
E6,PVFDA94H_13
F6,PVFDA94H_14
G6,PVFDA94H_15
H6,PVFDA94H_16
A7,PVFDA94H_17
B7,PVFDA94H_18
C7,PVFDA94H_51
D7,PVFDA94H_52
E7,PVFDA94H_53
F7,PVFDA94H_54
G7,PVFDA94H_55
H7,PVFDA94H_56
A8,PVFDA94H_57
B8,PVFDA94H_58
C8,PVFDA94H_59
D8,PVFDA94H_60
E8,PVFDA94H_61
F8,PVFDA94H_62
G8,PVFDA94H_63
H8,PVFDA94H_64
A9,PVFDA94H_65
B9,PVFDA94H_66
C9,PVFDA94H_67
D9,PVFDA94H_68
E9,PVFDA14_1
F9,PVFDA14_2
G9,PVFDA14_3
H9,PVFDA14_4
A10,PVFDA14_5
B10,PVFDA14_25
C10,PVFDA14_26
D10,PVFDA14_27
E10,PVFDA14_28
F10,PVFDA14_49
G10,PVFDA14_50
H10,PVFDA14_51
A11,PVFDA14_52
B11,PVFDA14_53
C11,PVFDA14_74
D11,PVFDA14_75
E11,PVFDA14_76
F11,PVFDA14_77
G11,PVFDA14_99
H11,PVFDA14_100
A12,PVFDA14_101
B12,PVFDA14_102
C12,PVFDA14_103
D12,PVFDA14_124
E12,PVFDA14_125
F12,PVFDA14_126
G12,PVFDA14_127
H12,NTC
