Well Position,Sample Name
A1,PVFDA14_149
B1,PVFDA14_150
C1,PVFDA14_151
D1,PVFDA14_152
E1,PVFDA14_153
F1,PVFDA14_174
G1,PVFDA14_175
H1,PVFDA14_176
A2,PVFDA14_177
B2,PVFDE91H_1
C2,PVFDE91H_2
D2,PVFDE91H_3
E2,PVFDE91H_4
F2,PVFDE91H_5
G2,PVFDE91H_6
H2,PVFDE91H_7
A3,PVFDE91H_8
B3,PVFDE91H_9
C3,PVFDE91H_10
D3,PVFDE91H_11
E3,PVFDE91H_12
F3,PVFDE91H_13
G3,PVFDE91H_14
H3,PVFDE91H_15
A4,PVFDE91H_16
B4,PVFDE91H_17
C4,PVFDE91H_18
D4,PVFDE91H_51
E4,PVFDE91H_52
F4,PVFDE91H_53
G4,PVFDE91H_54
H4,PVFDE91H_55
A5,PVFDE91H_56
B5,PVFDE91H_57
C5,PVFDE91H_58
D5,PVFDE91H_59
E5,PVFDE91H_60
F5,PVFDE91H_61
G5,PVFDE91H_62
H5,PVFDE91H_63
A6,PVFDE91H_64
B6,PVFDE91H_65
C6,PVFDE91H_66
D6,PVFDE91H_67
E6,PVFDE91H_68
F6,PDUCK94T_1
G6,PDUCK94T_2
H6,PDUCK94T_3
A7,PDUCK94T_4
B7,PDUCK94T_5
C7,PDUCK94T_6
D7,PDUCK94T_7
E7,PDUCK94T_8
F7,PDUCK94T_9
G7,PDUCK94T_10
H7,PDUCK94T_11
A8,PDUCK94T_12
B8,PDUCK94T_13
C8,PDUCK94T_14
D8,PDUCK94T_15
E8,PDUCK94T_16
F8,PDUCK94T_17
G8,PDUCK94T_18
H8,PDUCK94T_51
A9,PDUCK94T_52
B9,PDUCK94T_53
C9,PDUCK94T_54
D9,PDUCK94T_55
E9,PDUCK94T_56
F9,PDUCK94T_57
G9,PDUCK94T_58
H9,PDUCK94T_59
A10,PDUCK94T_60
B10,PDUCK94T_61
C10,PDUCK94T_62
D10,PDUCK94T_63
E10,PDUCK94T_64
F10,PDUCK94T_65
G10,PDUCK94T_66
H10,PDUCK94T_67
A11,PDUCK94T_68
B11,PERBE91T_1
C11,PERBE91T_2
D11,PERBE91T_3
E11,PERBE91T_4
F11,PERBE91T_5
G11,PERBE91T_6
H11,PERBE91T_7
A12,PERBE91T_8
B12,PERBE91T_9
C12,PERBE91T_51
D12,PERBE91T_52
E12,PERBE91T_53
F12,PERBE91T_54
G12,PERBE91T_55
H12,NTC
