Well Position,Sample Name
A1,PHOGAN16_4320
B1,PHOGAN16_4512
C1,PHOGAN16_4651
D1,PHOGAN16_5359
E1,PHOGAN16_5399
F1,PHOGAN16_6030
G1,PHOGAN16_6094
H1,PHOGAN16_6117
A2,PHOGAN16_6426
B2,PHOGAN16_6513
C2,PHOGAN16_6571
D2,PHOGAN16_6637
E2,PHOGAN16_6665
F2,PHOGAN16_6670
G2,PHOGAN16_6671
H2,PHOGAN16_6869
A3,PHOGAN16_7105
B3,PHOGAN16_7418
C3,PHOGAN16_7769
D3,PHOGAN16_7935
E3,PHOGAN16_7975
F3,PHOGAN16_8056
G3,PHOGAN16_8194
H3,PHOGAN16_8239
A4,PHOGAN16_8303
B4,PHOGAN16_8503
C4,PHOGAN16_8603
D4,PHOGAN16_8987
E4,PHOGAN16_9111
F4,PHOGAN16_9303
G4,PHOGAN16_9397
H4,PHOGAN16_9434
A5,PHOGAN16_9625
B5,PHOGAN16_10054
C5,PHOGAN16_10079
D5,PHOGAN16_10311
E5,PHOGAN16_10815
F5,PHOGAN16_10901
G5,PHOGAN16_11090
H5,PHOGAN16_11123
A6,PHOGAN16_11197
B6,PHOGAN16_11219
C6,PHOGAN16_11247
D6,PHOGAN16_12004
E6,PHOGAN16_12123
F6,PHOGAN16_12157
G6,PHOGAN16_12206
H6,PHOGAN16_12242
A7,PHOGAN16_12289
B7,PHOGAN16_12379
C7,PHOGAN16_12498
D7,PHOGAN16_12857
E7,PHOGAN15_45
F7,PHOGAN15_88
G7,PHOGAN15_114
H7,PHOGAN15_116
A8,PHOGAN15_120
B8,PHOGAN15_176
C8,PHOGAN15_194
D8,PHOGAN15_210
E8,PHOGAN15_266
F8,PHOGAN15_290
G8,PHOGAN15_312
H8,PHOGAN15_388
A9,PHOGAN15_430
B9,PHOGAN15_471
C9,PHOGAN15_509
D9,PHOGAN15_694
E9,PHOGAN15_713
F9,PHOGAN15_821
G9,PHOGAN15_823
H9,PHOGAN15_952
A10,PHOGAN15_1039
B10,PHOGAN15_1128
C10,PHOGAN15_1162
D10,PHOGAN15_1194
E10,PHOGAN15_1289
F10,PHOGAN15_1431
G10,PHOGAN15_1691
H10,PHOGAN15_1725
A11,PHOGAN15_2115
B11,PHOGAN15_2172
C11,PHOGAN15_2183
D11,PHOGAN15_2215
E11,PHOGAN15_2398
F11,PHOGAN15_2441
G11,PHOGAN15_2511
H11,PHOGAN15_2780
A12,PHOGAN15_2925
B12,PHOGAN15_3289
C12,PHOGAN15_3293
D12,PHOGAN15_3514
E12,PHOGAN15_3723
F12,PHOGAN15_3748
G12,PHOGAN15_4018
H12,NTC
