Well Position,Sample Name
A1,PDUCK14L_6
B1,PDUCK14L_7
C1,PDUCK14L_8
D1,PDUCK14L_9
E1,PDUCK14L_37
F1,PDUCK14L_38
G1,PDUCK14L_39
H1,PDUCK14L_40
A2,PDUCK14L_41
B2,PDUCK14L_42
C2,PDUCK14L_43
D2,PDUCK14L_44
E2,PDUCK14L_45
F2,PERB17_3
G2,PERB17_4
H2,PERB17_23
A3,PERB17_33
B3,PERB17_45
C3,PERB17_64
D3,PERB17_110
E3,PERB17_111
F3,PERB17_113
G3,PERB17_123
H3,PERB17_127
A4,PERB17_136
B4,PERB17_138
C4,PERB17_148
D4,PERB17_151
E4,PERB17_187
F4,PERB17_217
G4,PERB17_220
H4,PERB17_231
A5,PERB17_234
B5,PERB17_245
C5,PERB17_257
D5,PERB17_263
E5,PERB17_271
F5,PERB17_272
G5,PERB17_282
H5,PERB17_295
A6,PERB17_318
B6,PERB17_324
C6,PERB17_347
D6,PERB17_357
E6,PERB17_365
F6,PERB17_372
G6,PERB17_381
H6,PERB17_383
A7,PERB17_384
B7,PGREG14E_1
C7,PGREG14E_6
D7,PGREG14E_7
E7,PGREG14E_8
F7,PGREG14E_10
G7,PGREG14E_12
H7,PGREG14E_13
A8,PGREG14E_14
B8,PGREG14E_15
C8,PGREG14E_16
D8,PGREG14E_17
E8,PGREG14E_18
F8,PGREG14E_20
G8,PGREG14E_22
H8,PGREG14E_24
A9,PGREG14E_26
B9,PGREG14E_28
C9,PGREG14E_29
D9,PGREG14L_1
E9,PGREG14L_2
F9,PGREG14L_3
G9,PGREG14L_4
H9,PGREG14L_5
A10,PGREG14L_6
B10,PGREG14L_7
C10,PGREG14L_8
D10,PGREG14L_9
E10,PGREG14L_75
F10,PGREG14L_76
G10,PGREG14L_77
H10,PGREG14L_78
A11,PGREG14L_79
B11,PGREG14L_80
C11,PGREG14L_81
D11,PGREG14L_82
E11,PGREG14L_83
F11,PDUCK13_1
G11,PDUCK13_2
H11,PDUCK13_3
A12,PDUCK13_4
B12,PDUCK13_5
C12,PDUCK13_6
D12,PDUCK13_7
E12,PDUCK13_8
F12,PDUCK13_9
G12,PDUCK13_10
H12,NTC
