silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PSPRIN15_7455,PSPRIN15,7455,0000001917,38,Heart-bulbus arteriosus,2015-08-15,F,NO
PSPRIN15_7458,PSPRIN15,7458,0000001917,41,Heart-bulbus arteriosus,2015-08-15,F,NO
PSPRIN15_7459,PSPRIN15,7459,0000001917,42,Heart-bulbus arteriosus,2015-08-15,F,NO
PSPRIN15_7462,PSPRIN15,7462,0000001917,45,Heart-bulbus arteriosus,2015-08-15,F,NO
PSPRIN15_9903,PSPRIN15,9903,0000002475,2,Heart-bulbus arteriosus,2015-08-29,M,NO
PSPRIN15_9905,PSPRIN15,9905,0000002475,4,Heart-bulbus arteriosus,2015-08-29,M,NO
PSPRIN15_9907,PSPRIN15,9907,0000002475,6,Heart-bulbus arteriosus,2015-08-29,F,NO
PSPRIN15_9909,PSPRIN15,9909,0000002475,8,Heart-bulbus arteriosus,2015-08-29,M,NO
PSPRIN15_9911,PSPRIN15,9911,0000002475,10,Heart-bulbus arteriosus,2015-08-29,F,NO
PSPRIN15_9915,PSPRIN15,9915,0000002475,14,Heart-bulbus arteriosus,2015-08-29,M,NO
PSPRIN15_9935,PSPRIN15,9935,0000002475,34,Heart-bulbus arteriosus,2015-08-29,M,NO
PSPRIN15_9944,PSPRIN15,9944,0000002475,43,Heart-bulbus arteriosus,2015-08-29,F,NO
PSPRIN15_9955,PSPRIN15,9955,0000002476,6,Heart-bulbus arteriosus,2015-08-29,M,NO
PSPRIN15_9960,PSPRIN15,9960,0000002476,11,Heart-bulbus arteriosus,2015-08-29,M,NO
