silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,hatchery,otolith_mark_present,otolith_mark_id
PSTOCK16_9,PSTOCK16,9,0000015818,9,Heart-bulbus arteriosus,2016-09-06,F,AFK,YES,AFK14B
PSTOCK16_4587,PSTOCK16,4587,0000014593,48,Heart-bulbus arteriosus,2016-08-29,F,AFK,YES,AFK14B
PSTOCK16_7657,PSTOCK16,7657,0000015876,1,Heart-bulbus arteriosus,2016-09-10,F,AFK,YES,AFK14B
PSTOCK16_1523,PSTOCK16,1523,0000015880,11,Heart-bulbus arteriosus,2016-09-10,M,AFK,YES,AFK14B
PSTOCK16_7001,PSTOCK16,7001,0000015791,9,Heart-bulbus arteriosus,2016-09-04,M,AFK,YES,AFK14B
