silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PHOGAN16_88,PHOGAN16,88,0000016024,40,Heart-bulbus arteriosus,2016-09-06,Male,NO
PHOGAN16_710,PHOGAN16,710,0000014501,38,Heart-bulbus arteriosus,2016-08-18,Male,NO
PHOGAN16_775,PHOGAN16,775,0000014519,7,Heart-bulbus arteriosus,2016-08-20,Female,NO
PHOGAN16_805,PHOGAN16,805,0000014519,37,Heart-bulbus arteriosus,2016-08-20,Female,NO
PHOGAN16_984,PHOGAN16,984,0000015937,24,Heart-bulbus arteriosus,2016-09-12,Male,NO
PHOGAN16_1147,PHOGAN16,1147,0000014717,43,Heart-bulbus arteriosus,2016-08-30,Female,NO
PHOGAN16_2413,PHOGAN16,2413,0000016049,13,Heart-bulbus arteriosus,2016-09-08,Male,NO
PHOGAN16_3042,PHOGAN16,3042,0000016004,18,Heart-bulbus arteriosus,2016-09-04,Male,NO
PHOGAN16_3233,PHOGAN16,3233,0000014735,17,Heart-bulbus arteriosus,2016-08-31,Female,NO
PHOGAN16_3348,PHOGAN16,3348,0000014719,36,Heart-bulbus arteriosus,2016-08-30,Female,NO
PHOGAN16_4008,PHOGAN16,4008,0000015927,45,Heart-bulbus arteriosus,2016-09-16,Male,NO
PHOGAN16_4320,PHOGAN16,4320,0000016072,21,Heart-bulbus arteriosus,2016-09-10,Male,NO
PHOGAN16_4512,PHOGAN16,4512,0000014520,21,Heart-bulbus arteriosus,2016-08-20,Male,NO
PHOGAN16_5399,PHOGAN16,5399,0000015991,14,Heart-bulbus arteriosus,2016-09-03,Male,NO
PHOGAN16_6665,PHOGAN16,6665,0000015929,22,Heart-bulbus arteriosus,2016-09-11,Male,NO
PHOGAN16_6670,PHOGAN16,6670,0000015929,27,Heart-bulbus arteriosus,2016-09-11,Male,NO
PHOGAN16_6671,PHOGAN16,6671,0000015929,28,Heart-bulbus arteriosus,2016-09-11,Female,NO
PHOGAN16_6869,PHOGAN16,6869,0000015990,34,Heart-bulbus arteriosus,2016-09-03,Male,NO
PHOGAN16_7105,PHOGAN16,7105,0000014518,30,Heart-bulbus arteriosus,2016-08-20,Male,NO
PHOGAN16_7975,PHOGAN16,7975,0000014688,36,Heart-bulbus arteriosus,2016-08-28,Female,NO
PHOGAN16_8056,PHOGAN16,8056,0000014667,21,Heart-bulbus arteriosus,2016-08-24,Female,NO
PHOGAN16_8194,PHOGAN16,8194,0000014734,15,Heart-bulbus arteriosus,2016-08-31,Female,NO
PHOGAN16_8303,PHOGAN16,8303,0000016028,28,Heart-bulbus arteriosus,2016-09-06,Male,NO
PHOGAN16_8503,PHOGAN16,8503,0000014756,36,Heart-bulbus arteriosus,2016-09-02,Female,NO
PHOGAN16_9303,PHOGAN16,9303,0000016077,20,Heart-bulbus arteriosus,2016-09-10,Male,NO
PHOGAN16_9397,PHOGAN16,9397,0000015909,18,Heart-bulbus arteriosus,2016-09-13,Female,NO
PHOGAN16_9434,PHOGAN16,9434,0000015900,7,Heart-bulbus arteriosus,2016-09-13,Female,NO
PHOGAN16_10054,PHOGAN16,10054,0000014728,10,Heart-bulbus arteriosus,2016-08-30,Female,NO
PHOGAN16_10079,PHOGAN16,10079,0000014728,35,Heart-bulbus arteriosus,2016-08-30,Male,NO
PHOGAN16_10311,PHOGAN16,10311,0000015902,27,Heart-bulbus arteriosus,2016-09-13,Female,NO
PHOGAN16_10901,PHOGAN16,10901,0000014508,41,Heart-bulbus arteriosus,2016-08-20,Male,NO
PHOGAN16_11090,PHOGAN16,11090,0000014709,25,Heart-bulbus arteriosus,2016-08-29,Male,NO
PHOGAN16_11247,PHOGAN16,11247,0000016039,38,Heart-bulbus arteriosus,2016-09-07,Female,NO
PHOGAN16_12123,PHOGAN16,12123,0000014509,46,Heart-bulbus arteriosus,2016-08-20,Female,NO
PHOGAN16_12289,PHOGAN16,12289,0000014710,20,Heart-bulbus arteriosus,2016-08-29,Female,NO
PHOGAN16_12498,PHOGAN16,12498,0000014691,37,Heart-bulbus arteriosus,2016-08-28,Female,NO
