silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,hatchery,otolith_mark_present,otolith_mark_id
PHOGAN16_6030,PHOGAN16,6030,0000014258,21,Heart-bulbus arteriosus,2016-08-24,F,WNH,YES,WNH14PINKB
PHOGAN16_6094,PHOGAN16,6094,0000014740,37,Heart-bulbus arteriosus,2016-08-31,F,WNH,YES,WNH14PINKB
PHOGAN16_6117,PHOGAN16,6117,0000016020,12,Heart-bulbus arteriosus,2016-09-06,M,WNH,YES,WNH14PINKB
PHOGAN16_6426,PHOGAN16,6426,0000014749,23,Heart-bulbus arteriosus,2016-09-01,F,WNH,YES,WNH14PINKB
PHOGAN16_6513,PHOGAN16,6513,0000016008,14,Heart-bulbus arteriosus,2016-09-05,M,AFK,YES,AFK14B
PHOGAN16_6571,PHOGAN16,6571,0000015905,24,Heart-bulbus arteriosus,2016-09-13,F,AFK,YES,AFK14B
PHOGAN16_6637,PHOGAN16,6637,0000015983,42,Heart-bulbus arteriosus,2016-09-02,F,AFK,YES,AFK14B
PHOGAN16_7418,PHOGAN16,7418,0000015896,7,Heart-bulbus arteriosus,2016-09-13,F,WNH,YES,WNH14PINKB
PHOGAN16_7769,PHOGAN16,7769,0000014745,22,Heart-bulbus arteriosus,2016-09-01,M,WNH,YES,WNH14PINKB
PHOGAN16_7935,PHOGAN16,7935,0000014696,44,Heart-bulbus arteriosus,2016-08-27,M,WNH,YES,WNH14PINKB
PHOGAN16_8239,PHOGAN16,8239,0000014521,12,Heart-bulbus arteriosus,2016-08-20,M,WNH,YES,WNH14PINKB
PHOGAN16_8603,PHOGAN16,8603,0000014757,40,Heart-bulbus arteriosus,2016-09-02,M,WNH,YES,WNH14PINKB
PHOGAN16_8987,PHOGAN16,8987,0000016069,40,Heart-bulbus arteriosus,2016-09-10,F,WNH,YES,WNH14PINKB
PHOGAN16_9111,PHOGAN16,9111,0000016076,20,Heart-bulbus arteriosus,2016-09-10,M,AFK,YES,AFK14B
PHOGAN16_9625,PHOGAN16,9625,0000015935,13,Heart-bulbus arteriosus,2016-09-12,M,WNH,YES,WNH14PINKB
PHOGAN16_10815,PHOGAN16,10815,0000014507,3,Heart-bulbus arteriosus,2016-08-20,F,WNH,YES,WNH14PINKB
PHOGAN16_11123,PHOGAN16,11123,0000015844,10,Heart-bulbus arteriosus,2016-09-11,M,AFK,YES,AFK14B
PHOGAN16_11197,PHOGAN16,11197,0000016078,36,Heart-bulbus arteriosus,2016-09-11,M,AFK,YES,AFK14B
PHOGAN16_11219,PHOGAN16,11219,0000016039,10,Heart-bulbus arteriosus,2016-09-07,M,WNH,YES,WNH14PINKB
PHOGAN16_12004,PHOGAN16,12004,0000015941,23,Heart-bulbus arteriosus,2016-09-12,F,AFK,YES,AFK14B
PHOGAN16_12157,PHOGAN16,12157,0000016009,32,Heart-bulbus arteriosus,2016-09-05,M,AFK,YES,AFK14B
PHOGAN16_12206,PHOGAN16,12206,0000014517,33,Heart-bulbus arteriosus,2016-08-20,M,AFK,YES,AFK14B
PHOGAN16_12242,PHOGAN16,12242,0000014516,21,Heart-bulbus arteriosus,2016-08-20,F,AFK,YES,AFK14B
PHOGAN16_12379,PHOGAN16,12379,0000014690,14,Heart-bulbus arteriosus,2016-08-28,M,WNH,YES,WNH14PINKB
PHOGAN16_12857,PHOGAN16,12857,0000016032,43,Heart-bulbus arteriosus,2016-09-07,M,AFK,YES,AFK14B
PSTOCK15_271,PSTOCK15,271,0000002073,20,Heart-bulbus arteriosus,2015-08-15,M,AFK,YES,AFK13B
PSTOCK15_1546,PSTOCK15,1546,0000002139,6,Heart-bulbus arteriosus,2015-08-25,F,WNH,YES,WNH13PINKB
PSTOCK15_1553,PSTOCK15,1553,0000002139,13,Heart-bulbus arteriosus,2015-08-25,F,WNH,YES,WNH13PINKB
PSTOCK15_2013,PSTOCK15,2013,0000002148,41,Heart-bulbus arteriosus,2015-08-25,M,AFK,YES,AFK13B
PSTOCK15_2436,PSTOCK15,2436,0000002175,15,Heart-bulbus arteriosus,2015-08-27,F,AFK,YES,AFK13B
PSTOCK15_3764,PSTOCK15,3764,0000002214,47,Heart-bulbus arteriosus,2015-08-30,F,AFK,YES,AFK13B
PSTOCK15_3895,PSTOCK15,3895,0000002217,34,Heart-bulbus arteriosus,2015-08-30,F,AFK,YES,AFK13B
PSTOCK15_3928,PSTOCK15,3928,0000002218,19,Heart-bulbus arteriosus,2015-08-30,F,AFK,YES,AFK13B
PSTOCK15_3958,PSTOCK15,3958,0000002219,1,Heart-bulbus arteriosus,2015-08-30,M,AFK,YES,AFK13B
PSTOCK15_4193,PSTOCK15,4193,0000002223,44,Heart-bulbus arteriosus,2015-08-30,F,AFK,YES,AFK13B
PSTOCK15_4653,PSTOCK15,4653,0000002275,32,Heart-bulbus arteriosus,2015-09-03,F,WNH,YES,WNH13PINKB
PSTOCK15_4678,PSTOCK15,4678,0000002276,9,Heart-bulbus arteriosus,2015-09-03,M,AFK,YES,AFK13B
PSTOCK15_5108,PSTOCK15,5108,0000002494,7,Heart-bulbus arteriosus,2015-09-03,M,AFK,YES,AFK13B
PSTOCK15_5154,PSTOCK15,5154,0000002495,5,Heart-bulbus arteriosus,2015-09-03,M,AFK,YES,AFK13B
PSTOCK15_5175,PSTOCK15,5175,0000002495,26,Heart-bulbus arteriosus,2015-09-03,F,AFK,YES,AFK13B
PSTOCK15_5675,PSTOCK15,5675,0000002533,46,Heart-bulbus arteriosus,2015-09-06,M,AFK,YES,AFK13B
PSTOCK15_6481,PSTOCK15,6481,0000002819,36,Heart-bulbus arteriosus,2015-09-09,F,AFK,YES,AFK13B
PSTOCK15_6547,PSTOCK15,6547,0000002821,6,Heart-bulbus arteriosus,2015-09-09,M,AFK,YES,AFK13B
PSTOCK15_6693,PSTOCK15,6693,0000002824,8,Heart-bulbus arteriosus,2015-09-09,M,WNH,YES,WNH13PINKB
PSTOCK15_6864,PSTOCK15,6864,0000002827,35,Heart-bulbus arteriosus,2015-09-09,F,WNH,YES,WNH13PINKB
PSTOCK15_6872,PSTOCK15,6872,0000002827,43,Heart-bulbus arteriosus,2015-09-09,F,WNH,YES,WNH13PINKB
PSTOCK15_7031,PSTOCK15,7031,0000002865,26,Heart-bulbus arteriosus,2015-09-12,F,WNH,YES,WNH13PINKB
PSTOCK15_7197,PSTOCK15,7197,0000002913,48,Heart-bulbus arteriosus,2015-09-12,M,WNH,YES,WNH13PINKB
PSTOCK15_7287,PSTOCK15,7287,0000002915,42,Heart-bulbus arteriosus,2015-09-12,M,WNH,YES,WNH13PINKB
PSTOCK15_7477,PSTOCK15,7477,0000002919,40,Heart-bulbus arteriosus,2015-09-12,M,WNH,YES,WNH13PINKB
PSTOCK15_7576,PSTOCK15,7576,0000002921,43,Heart-bulbus arteriosus,2015-09-12,M,WNH,YES,WNH13PINKB
PSTOCK15_7586,PSTOCK15,7586,0000002922,5,Heart-bulbus arteriosus,2015-09-12,F,AFK,YES,AFK13B
PSTOCK15_7644,PSTOCK15,7644,0000002923,15,Heart-bulbus arteriosus,2015-09-12,M,AFK,YES,AFK13B
PSTOCK15_7663,PSTOCK15,7663,0000002956,1,Heart-bulbus arteriosus,2015-09-15,F,WNH,YES,WNH13PINKB
PSTOCK15_7702,PSTOCK15,7702,0000002956,40,Heart-bulbus arteriosus,2015-09-15,M,WNH,YES,WNH13PINKB
PSTOCK15_7716,PSTOCK15,7716,0000002957,6,Heart-bulbus arteriosus,2015-09-15,M,WNH,YES,WNH13PINKB
PSTOCK15_8028,PSTOCK15,8028,0000002963,30,Heart-bulbus arteriosus,2015-09-15,M,WNH,YES,WNH13PINKB
PSTOCK15_8269,PSTOCK15,8269,0000003683,6,Heart-bulbus arteriosus,2015-09-18,F,AFK,YES,AFK13B
PSTOCK15_8277,PSTOCK15,8277,0000003683,14,Heart-bulbus arteriosus,2015-09-18,F,WNH,YES,WNH13PINKB
PSTOCK15_8308,PSTOCK15,8308,0000003683,45,Heart-bulbus arteriosus,2015-09-18,F,WNH,YES,WNH13PINKB
PSTOCK15_8372,PSTOCK15,8372,0000003685,13,Heart-bulbus arteriosus,2015-09-18,M,WNH,YES,WNH13PINKB
