silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PSPRIN14_7,PSPRIN14,7,1300001612,7,Heart-bulbus arteriosus,2014-08-06,M,NO
PSPRIN14_137,PSPRIN14,137,1400000787,11,Heart-bulbus arteriosus,2014-08-20,F,NO
PSPRIN14_173,PSPRIN14,173,1300001615,5,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_187,PSPRIN14,187,1300001615,19,Heart-bulbus arteriosus,2014-08-14,F,NO
PSPRIN14_199,PSPRIN14,199,1300001615,31,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_208,PSPRIN14,208,1300001615,40,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_215,PSPRIN14,215,1300001615,47,Heart-bulbus arteriosus,2014-08-14,M,NO
PSPRIN14_234,PSPRIN14,234,1300001608,18,Heart-bulbus arteriosus,2014-08-10,F,NO
