silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,otolith_mark_present
PSTOCK15_367,PSTOCK15,367,2088,23,Heart-bulbus arteriosus,2015-08-19,M,NO
PSTOCK15_427,PSTOCK15,427,2089,35,Heart-bulbus arteriosus,2015-08-19,M,NO
PSTOCK15_502,PSTOCK15,502,2091,14,Heart-bulbus arteriosus,2015-08-19,M,NO
PSTOCK15_762,PSTOCK15,762,2108,20,Heart-bulbus arteriosus,2015-08-23,F,NO
PSTOCK15_772,PSTOCK15,772,2108,30,Heart-bulbus arteriosus,2015-08-23,M,NO
PSTOCK15_808,PSTOCK15,808,2109,18,Heart-bulbus arteriosus,2015-08-23,M,NO
PSTOCK15_1019,PSTOCK15,1019,2113,37,Heart-bulbus arteriosus,2015-08-23,M,NO
PSTOCK15_1355,PSTOCK15,1355,2135,7,Heart-bulbus arteriosus,2015-08-25,F,NO
PSTOCK15_1376,PSTOCK15,1376,2135,28,Heart-bulbus arteriosus,2015-08-25,M,NO
PSTOCK15_1527,PSTOCK15,1527,2138,35,Heart-bulbus arteriosus,2015-08-25,F,NO
PSTOCK15_1530,PSTOCK15,1530,2138,38,Heart-bulbus arteriosus,2015-08-25,M,NO
PSTOCK15_1765,PSTOCK15,1765,2143,33,Heart-bulbus arteriosus,2015-08-25,M,NO
PSTOCK15_1951,PSTOCK15,1951,2147,27,Heart-bulbus arteriosus,2015-08-25,M,NO
PSTOCK15_2152,PSTOCK15,2152,2151,36,Heart-bulbus arteriosus,2015-08-25,F,NO
PSTOCK15_2498,PSTOCK15,2498,2176,29,Heart-bulbus arteriosus,2015-08-27,F,NO
PSTOCK15_2504,PSTOCK15,2504,2176,35,Heart-bulbus arteriosus,2015-08-27,M,NO
PSTOCK15_2585,PSTOCK15,2585,2178,20,Heart-bulbus arteriosus,2015-08-27,F,NO
PSTOCK15_2594,PSTOCK15,2594,2178,29,Heart-bulbus arteriosus,2015-08-27,F,NO
PSTOCK15_2625,PSTOCK15,2625,2179,12,Heart-bulbus arteriosus,2015-08-27,M,NO
PSTOCK15_2661,PSTOCK15,2661,2179,48,Heart-bulbus arteriosus,2015-08-27,M,NO
PSTOCK15_2720,PSTOCK15,2720,2181,11,Heart-bulbus arteriosus,2015-08-27,M,NO
PSTOCK15_2905,PSTOCK15,2905,2485,4,Heart-bulbus arteriosus,2015-08-27,F,NO
PSTOCK15_2908,PSTOCK15,2908,2485,7,Heart-bulbus arteriosus,2015-08-27,M,NO
PSTOCK15_3011,PSTOCK15,3011,2487,14,Heart-bulbus arteriosus,2015-08-27,M,NO
PSTOCK15_3014,PSTOCK15,3014,2487,17,Heart-bulbus arteriosus,2015-08-27,F,NO
PSTOCK15_3028,PSTOCK15,3028,2487,31,Heart-bulbus arteriosus,2015-08-27,F,NO
PSTOCK15_3607,PSTOCK15,3607,2211,34,Heart-bulbus arteriosus,2015-08-30,F,NO
PSTOCK15_4093,PSTOCK15,4093,2221,40,Heart-bulbus arteriosus,2015-08-30,M,NO
PSTOCK15_4279,PSTOCK15,4279,2225,34,Heart-bulbus arteriosus,2015-08-30,F,NO
PSTOCK15_5438,PSTOCK15,5438,2529,1,Heart-bulbus arteriosus,2015-09-06,F,NO
PSTOCK15_5472,PSTOCK15,5472,2529,35,Heart-bulbus arteriosus,2015-09-06,F,NO
PSTOCK15_5635,PSTOCK15,5635,2533,6,Heart-bulbus arteriosus,2015-09-06,F,NO
PSTOCK15_5645,PSTOCK15,5645,2533,16,Heart-bulbus arteriosus,2015-09-06,F,NO
PSTOCK15_6222,PSTOCK15,6222,2814,17,Heart-bulbus arteriosus,2015-09-09,M,NO
PSTOCK15_6541,PSTOCK15,6541,2820,48,Heart-bulbus arteriosus,2015-09-09,F,NO
PSTOCK15_7228,PSTOCK15,7228,2914,31,Heart-bulbus arteriosus,2015-09-12,F,NO
