dna_plate_id,dna_plate_well,silly,fish_id,tissue_type,sex,origin,date,comment,silly_source,sample,dwp_barcode,dwp_well,length_mm_meh,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63213,H3,PCANN15,109,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A4,PCANN15,110,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B4,PCANN15,111,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C4,PCANN15,112,Axillary Process,male,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D4,PCANN15,154,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E4,PCANN15,155,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F4,PCANN15,156,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G4,PCANN15,157,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H4,PCANN15,158,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A5,PCANN15,159,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B5,PCANN15,160,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C5,PCANN15,161,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D5,PCANN15,162,Axillary Process,female,hatchery,2015-09-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A10,PDUCK14E,1,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B10,PDUCK14E,2,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C10,PDUCK14E,3,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D10,PDUCK14E,4,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E10,PDUCK14E,5,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F10,PDUCK14E,6,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G10,PDUCK14E,7,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H10,PDUCK14E,8,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A11,PDUCK14E,9,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B11,PDUCK14E,10,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C11,PDUCK14E,12,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D11,PDUCK14E,13,Axillary Process,female,natural,2014-08-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
