dna_plate_id,dna_plate_well,silly_source,silly_indiv,fish_id_indiv,tissue_type,sex_indiv,origin_indiv,date,comment,sample,silly_paired,fish_id_paired,dwp_barcode,dwp_well,sample_date,sex_paired,length_mm_meh,origin_paired,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63213,A1,PCANN15_1,PCANN15,1,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B1,PCANN15_2,PCANN15,2,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C1,PCANN15_3,PCANN15,3,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D1,PCANN15_4,PCANN15,4,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E1,PCANN15_5,PCANN15,5,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F1,PCANN15_6,PCANN15,6,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G1,PCANN15_7,PCANN15,7,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H1,PCANN15_8,PCANN15,8,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A2,PCANN15_9,PCANN15,9,Axillary Process,male,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B2,PCANN15_53,PCANN15,53,Axillary Process,female,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C2,PCANN15_54,PCANN15,54,Axillary Process,female,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D2,PCANN15_55,PCANN15,55,Axillary Process,female,hatchery,2015-09-02,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
