Silly Code,FK_COLLECTION_ID,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,END_CAPTURE_DATE,LATITUDE,LONGITUDE,MESH_SIZE,MESH_SIZE_COMMENT,IS_MISSING_PAIRED_DATA_EXISTS,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_IN_DATASHEET,IS_PRESENT_BUT_NOT_IN_DS,VIAL_BARCODE,CONTAINER_ARRAY_TYPE_ID,DNA_TRAY_WORKBENCH_ID,DNA_TRAY_CODE,DNA_TRAY_WELL_POS,DNA_TRAY_WELL_CODE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,AGENCY,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT
PAFK91H,2603,39,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,40,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,41,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,42,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,43,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,44,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,45,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,46,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,47,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,48,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,49,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,50,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,51,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,52,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,53,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,54,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,55,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,56,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,57,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,58,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,59,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,60,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,61,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,62,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,63,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,64,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,65,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,66,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,67,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,68,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,69,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,70,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,71,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,72,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,73,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,74,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,75,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,76,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,77,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,78,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,79,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,80,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,81,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,82,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,83,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,84,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,85,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,86,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
