Lab Project ID,Plate ID,Silly Code,Fish,Well,Tissue Type
2666,63216,PSTOCK15,7576,A9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7586,B9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7644,C9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7663,D9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7702,E9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7716,F9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,8028,G9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,8269,H9,Heart-bulbus arteriosus
2666,63216,PSTOCK15,8277,A10,Heart-bulbus arteriosus
2666,63216,PSTOCK15,8308,B10,Heart-bulbus arteriosus
2666,63216,PSTOCK15,8372,C10,Heart-bulbus arteriosus
2666,63216,PSTOCK16,8064,A1,Heart-bulbus arteriosus
2666,63216,PSTOCK16,8672,B1,Heart-bulbus arteriosus
2666,63216,PSTOCK16,8698,C1,Heart-bulbus arteriosus
2666,63217,PHOGAN15,45,E7,Heart-bulbus arteriosus
2666,63217,PHOGAN15,88,F7,Heart-bulbus arteriosus
2666,63217,PHOGAN15,114,G7,Heart-bulbus arteriosus
2666,63217,PHOGAN15,116,H7,Heart-bulbus arteriosus
2666,63217,PHOGAN15,120,A8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,176,B8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,194,C8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,210,D8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,266,E8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,290,F8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,312,G8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,388,H8,Heart-bulbus arteriosus
2666,63217,PHOGAN15,430,A9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,471,B9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,509,C9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,694,D9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,713,E9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,821,F9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,823,G9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,952,H9,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1039,A10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1128,B10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1162,C10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1194,D10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1289,E10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1431,F10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1691,G10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,1725,H10,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2115,A11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2172,B11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2183,C11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2215,D11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2398,E11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2441,F11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2511,G11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2780,H11,Heart-bulbus arteriosus
2666,63217,PHOGAN15,2925,A12,Heart-bulbus arteriosus
2666,63217,PHOGAN15,3289,B12,Heart-bulbus arteriosus
2666,63217,PHOGAN15,3293,C12,Heart-bulbus arteriosus
2666,63217,PHOGAN15,3514,D12,Heart-bulbus arteriosus
2666,63217,PHOGAN15,3723,E12,Heart-bulbus arteriosus
2666,63217,PHOGAN15,3748,F12,Heart-bulbus arteriosus
2666,63217,PHOGAN15,4018,G12,Heart-bulbus arteriosus
2666,63217,PHOGAN16,4320,A1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,4512,B1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,4651,C1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,5359,D1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,5399,E1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6030,F1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6094,G1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6117,H1,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6426,A2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6513,B2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6571,C2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6637,D2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6665,E2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6670,F2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6671,G2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,6869,H2,Heart-bulbus arteriosus
2666,63217,PHOGAN16,7105,A3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,7418,B3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,7769,C3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,7935,D3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,7975,E3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,8056,F3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,8194,G3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,8239,H3,Heart-bulbus arteriosus
2666,63217,PHOGAN16,8303,A4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,8503,B4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,8603,C4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,8987,D4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,9111,E4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,9303,F4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,9397,G4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,9434,H4,Heart-bulbus arteriosus
2666,63217,PHOGAN16,9625,A5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,10054,B5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,10079,C5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,10311,D5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,10815,E5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,10901,F5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,11090,G5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,11123,H5,Heart-bulbus arteriosus
2666,63217,PHOGAN16,11197,A6,Heart-bulbus arteriosus
2666,63217,PHOGAN16,11219,B6,Heart-bulbus arteriosus
2666,63217,PHOGAN16,11247,C6,Heart-bulbus arteriosus
